"relative_path","bytes","lines","hash_sha1","is_binary","read_error","created_utc","modified_utc"
"AGENTS.md","660","18","920AD522BEA059F24C9599EE77D603093672B8FD","False","False","2025-10-27T04:39:38Z","2025-10-27T04:45:39Z"
"assets\README.md","4791","134","56D09EF436EEACD3492123D4FE7167B52CEE05DC","False","False","2025-10-27T04:39:38Z","2025-10-23T02:20:33Z"
"CLAUDE.md","660","18","920AD522BEA059F24C9599EE77D603093672B8FD","False","False","2025-10-27T04:39:38Z","2025-10-27T04:45:39Z"
"docs\pm\fluent_gui-removal.md","788","13","04EB2E3810D26DD5CC4FF8A1947C6C9213B082DE","False","False","2025-10-27T04:39:38Z","2025-10-26T19:39:50Z"
"fonts\dejavu-fonts-ttf-2.37\README.md","2556","68","145996BF169C94AFCE4E9E4C586FAA074F6DA46C","False","False","2025-10-27T04:39:38Z","2016-07-30T09:17:43Z"
"openspec\AGENTS.md","14982","457","E14861C8C1D1CE4D8C138D00551E885DB4A43392","False","False","2025-10-27T04:39:38Z","2025-10-26T18:23:18Z"
"openspec\changes\refactor-architecture-modularity\proposal.md","2868","18","04DC4974DC60B5E1B8821CC12876CED6F8C39949","False","False","2025-10-27T04:39:38Z","2025-10-26T18:48:08Z"
"openspec\changes\refactor-architecture-modularity\specs\architecture\spec.md","2526","47","564C0C621A72C186BD25789A93345DAC0D80881B","False","False","2025-10-27T04:39:38Z","2025-10-26T18:39:29Z"
"openspec\changes\refactor-architecture-modularity\tasks.md","2796","31","D5D7FFF1CEB4A504F51096F9496CB2EFF7B0A40A","False","False","2025-10-27T04:39:38Z","2025-10-26T18:48:34Z"
"openspec\project.md","6581","60","54416406BAA2EFD97074574778FE9C64A71F1D6C","False","False","2025-10-27T04:39:38Z","2025-10-26T18:31:40Z"
"README.md","2709","37","3EDFE1D17A85099792FA935F6DE0490C9A72C05D","False","False","2025-10-27T04:39:38Z","2025-10-26T19:40:22Z"
"tests\README.md","3191","88","280D4967810E7FBAA9072AF1C2BDB23874F7969B","False","False","2025-10-27T04:39:38Z","2025-10-14T21:21:58Z"
